treat,buttonpresses,bpressestest,age,gender,education,conscientious1,conscientious2_r,conscientious3,conscientious4,agreeable1,agreeable2_r,neurotic1,neurotic2_r,open1_r,open2,extraversion1_r,extraversion2,altruism1,altruism2,risk1,posreciprocity1,posreciprocity2,socialcomp1,socialcomp2_r,socialcomp3,competition1,competition2,competition3,competition4,risks5,risks6,risks8,risks9,risks12,risks13,risks15,risks16,risks20,risks21,risks23,risks24,risks27,risks28,risks30,risks31,loss1,loss_change,treat_1,treat_2,treat_3,treat_4,treat_5,treat_6,treat_7
6,1793,54,31,1,4,3,5,4,3,4,4,3,5,4,4,3,3,600,3,6,3,2,4,3,5,3,2,4,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0
4,2166,31,39,0,5,4,2,3,5,5,2,3,2,5,4,2,4,500,9,9,2,6,5,4,3,4,3,5,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,1,0,0,0
2,1685,0,30,1,3,5,3,4,4,4,4,4,4,5,3,3,3,1000,9,7,4,8,4,5,4,3,4,5,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0
1,1504,3,30,1,5,5,3,4,5,5,4,4,4,5,3,4,3,1500,8,10,5,8,4,5,4,5,3,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,0,0,0,0,0,0
5,2294,54,24,1,5,5,1,3,5,4,5,4,1,4,4,5,4,1500,9,10,6,8,5,4,3,4,5,4,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,1,0,0
6,1527,1,26,1,5,4,5,5,5,4,4,4,5,5,4,4,4,500,9,8,2,9,4,3,4,3,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,0,0,0,0,0,1,0
7,1580,49,60,1,4,3,1,4,3,4,3,3,3,3,4,5,3,600,9,8,1,9,4,3,3,4,4,3,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,2,0,0,0,0,0,0,1
2,2060,14,31,1,4,4,4,5,5,3,5,5,3,4,4,4,4,500,10,9,4,7,4,3,4,5,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,0,0,0,0,0
5,482,0,59,1,5,5,5,4,4,4,4,4,4,5,5,5,5,1000,10,9,6,10,5,4,5,4,3,4,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,2,0,0,0,0,1,0,0
6,1700,1,35,0,4,4,4,4,4,4,5,5,4,4,5,5,3,1000,9,10,6,9,5,4,5,4,5,4,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,1,0
3,2001,48,43,0,5,4,5,4,5,1,5,1,5,1,5,5,4,500,9,10,1,9,5,4,5,5,4,4,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0
1,1858,42,25,1,5,3,2,3,4,4,3,3,2,3,2,3,4,800,9,7,5,6,5,4,3,3,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0
4,2052,64,48,1,4,3,3,4,4,4,4,4,4,3,3,3,3,1200,8,9,3,8,3,4,3,4,3,4,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0
7,12,40,24,1,5,5,1,5,5,5,1,5,1,1,5,5,5,300,10,10,3,9,5,1,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,1
2,3034,84,30,0,1,5,1,5,5,5,1,5,1,1,5,3,5,800,10,7,6,10,1,5,1,1,3,3,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0
7,2286,51,25,1,5,3,3,4,3,5,2,4,4,5,4,4,5,500,8,9,4,9,5,3,4,3,4,4,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1
6,1000,44,24,1,5,5,1,5,5,5,1,5,1,1,5,5,5,200,10,9,3,10,5,1,5,5,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,1,0
5,1849,37,28,1,4,5,4,5,4,5,4,3,4,4,3,4,4,500,7,7,4,7,5,4,5,4,5,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,1,0,0
4,2620,31,30,0,5,5,1,5,5,4,1,5,1,5,5,1,5,600,10,1,3,10,5,5,2,2,1,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,1,0,0,0
7,2133,44,60,0,4,5,4,4,4,5,4,5,4,4,5,4,5,1000,8,9,0,8,4,5,4,5,4,5,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,2,0,0,0,0,0,0,1
1,992,9,38,0,5,5,1,4,3,5,1,5,1,5,4,1,5,1000,10,9,6,9,5,5,1,5,5,4,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,3,1,0,0,0,0,0,0
4,1501,3,45,1,4,4,2,4,4,5,4,3,3,2,3,4,5,500,8,6,2,5,5,3,4,2,3,5,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0
6,2431,63,24,1,5,5,3,5,5,5,4,4,4,4,5,3,4,600,10,9,4,10,5,4,5,4,5,5,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0
3,1561,21,25,1,5,3,3,3,3,4,2,2,4,3,3,3,3,800,8,6,5,9,5,4,3,4,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,0,1,0,0,0,0
2,2100,94,29,1,4,5,1,5,5,5,1,4,2,1,5,2,3,800,10,3,5,10,5,5,2,3,3,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0
1,2009,26,31,0,4,4,3,2,4,4,4,3,3,4,5,4,4,300,8,6,5,9,4,2,4,3,4,3,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0
3,2299,53,25,1,5,3,3,5,5,5,5,5,5,4,4,4,3,600,9,10,6,8,5,3,5,4,5,3,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,2,0,0,1,0,0,0,0
4,2190,9,40,0,4,5,1,5,5,5,1,4,1,5,5,5,3,500,10,4,5,10,5,5,1,3,5,3,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,3,0,0,0,1,0,0,0
5,460,0,31,0,6,4,4,4,5,5,4,5,5,5,4,4,5,1600,10,9,2,10,4,5,4,5,5,4,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,0,0,0,1,0,0
5,1646,16,41,0,4,1,3,3,3,4,3,4,2,4,2,4,2,600,8,9,3,9,4,3,4,3,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0
2,2056,51,40,1,5,5,4,4,5,3,4,3,3,4,4,4,5,100,7,8,1,6,3,4,3,4,3,4,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
3,2296,35,51,0,3,5,1,5,4,4,2,5,1,5,3,3,4,100,10,8,6,10,4,3,2,5,5,5,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,3,0,0,1,0,0,0,0
6,831,3,25,1,4,2,2,4,4,4,4,3,3,3,3,4,3,50,9,10,6,10,4,3,4,4,3,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0
7,1644,15,34,0,5,5,5,4,4,4,4,4,4,5,5,5,5,600,10,9,6,10,5,4,5,4,5,4,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,0,0,0,0,0,1
1,1302,3,33,1,4,4,2,4,3,3,2,4,2,4,3,4,3,1000,8,6,3,10,2,4,3,4,3,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0
4,1879,0,33,0,4,5,5,4,4,4,4,4,4,5,5,5,5,1000,9,10,4,8,5,4,5,4,5,4,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,1,0,0,0
2,2111,0,31,0,3,4,4,3,5,5,5,3,3,4,4,4,4,1100,8,9,4,7,4,3,4,5,4,3,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,1,0,0,0,0,0
4,1316,1,24,0,5,4,4,3,3,5,3,3,5,2,4,4,4,1500,9,6,6,3,4,3,4,3,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,1,0,0,0
5,2314,45,32,0,4,5,3,4,5,4,3,5,3,5,4,3,4,500,10,10,4,9,3,5,3,4,4,5,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0
7,1853,44,48,0,1,5,4,4,5,4,1,5,1,1,5,5,1,100,10,4,2,10,4,5,1,4,4,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1
3,700,1,34,1,4,4,2,5,5,5,3,4,2,4,5,4,5,1400,8,8,6,6,4,5,2,4,4,5,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0
1,1600,1,42,1,4,3,2,3,5,3,4,4,2,5,4,4,4,900,7,8,4,10,4,2,3,4,3,4,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
6,1872,39,30,1,5,4,4,5,5,5,5,5,5,4,4,4,4,1000,6,7,4,4,5,4,5,4,5,4,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0
4,1713,1,52,0,4,5,4,4,3,3,4,3,4,4,4,4,3,500,8,7,4,9,4,3,4,3,4,3,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,1,0,0,0
7,2611,53,25,1,5,5,1,5,5,5,1,5,1,1,1,4,3,500,10,9,4,10,5,1,3,1,3,4,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1
3,2232,0,32,0,5,5,4,4,3,3,3,5,4,3,3,4,4,600,7,6,5,6,4,3,3,5,4,3,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0
5,1880,38,36,0,4,4,5,4,5,5,5,5,5,5,4,4,4,1400,10,10,6,9,4,5,4,5,4,4,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0
1,2278,65,24,1,5,4,1,3,3,5,4,4,1,5,4,4,3,700,6,10,1,8,5,4,4,3,4,5,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,3,1,0,0,0,0,0,0
2,1167,6,41,0,4,5,2,5,5,4,1,4,2,4,4,3,4,800,9,8,2,10,1,5,1,4,5,5,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0
5,2852,69,24,1,5,3,5,4,3,3,4,4,5,4,3,5,3,800,9,8,1,8,4,4,5,2,5,3,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,3,0,0,0,0,1,0,0
7,1907,42,53,1,4,4,3,3,5,5,3,4,3,5,4,4,4,1000,9,8,4,9,4,3,4,5,4,3,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1
2,1409,1,48,1,4,3,4,4,3,3,3,4,4,3,3,4,4,600,8,7,2,6,4,3,3,4,3,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
4,2204,56,25,1,5,4,3,3,3,3,3,3,4,4,3,4,3,1000,9,7,5,9,4,3,4,4,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,0,0,0,1,0,0,0
1,2399,20,48,1,4,2,2,4,4,4,4,3,3,5,5,3,3,1100,8,9,4,9,4,5,2,4,3,4,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0
3,2317,52,45,0,4,4,3,4,3,3,5,4,5,5,4,4,3,200,6,8,2,9,3,4,5,4,3,4,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0
7,2153,57,39,0,1,3,3,3,3,3,5,2,4,2,5,4,1,50,1,3,5,7,3,2,5,4,3,4,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,1
6,1600,61,25,1,5,4,2,5,5,4,1,5,2,4,4,2,4,250,10,9,3,8,4,5,3,4,5,4,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0
1,2636,42,24,1,5,4,4,4,4,5,5,5,3,3,5,4,3,1500,8,9,6,7,4,3,5,4,3,5,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0
5,1105,19,36,1,4,5,4,3,5,3,4,4,3,5,5,4,4,100,6,7,1,8,4,4,5,3,3,4,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0
2,2408,1,37,0,4,4,4,5,5,5,5,5,5,4,4,4,4,1200,8,9,6,8,4,5,4,5,4,5,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,1,0,0,0,0,0
4,2200,47,55,1,4,4,4,5,5,5,5,5,5,4,4,4,4,500,9,10,2,9,4,5,4,5,4,5,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0
6,2838,52,25,1,5,3,3,5,4,3,4,4,3,4,4,4,5,800,3,2,4,2,5,4,3,3,4,4,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0
2,2051,4,26,1,5,4,4,5,3,5,3,3,5,4,4,4,4,500,6,9,2,7,4,3,4,5,3,4,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0
3,1511,33,26,1,4,3,3,4,4,4,4,4,4,3,3,3,3,1500,7,8,5,8,3,4,3,4,3,4,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0
5,1619,20,46,0,4,4,3,3,2,4,3,4,2,4,4,5,4,500,8,9,1,7,5,3,4,3,4,5,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0
4,2118,54,25,1,5,3,2,4,3,4,4,3,4,3,3,3,3,1000,8,9,5,8,4,3,4,3,4,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,1,0,0,0
7,2949,63,25,1,5,5,5,4,4,4,3,3,3,5,5,5,5,800,9,10,6,8,5,3,4,5,3,5,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1
7,2879,62,25,1,5,5,2,5,5,4,1,5,1,1,1,5,3,1000,10,9,4,9,5,1,2,5,3,4,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1
2,1034,34,38,1,4,4,3,3,3,5,3,4,5,4,4,4,5,150,6,8,1,9,5,4,3,2,4,5,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0
5,1708,21,37,0,4,5,1,5,5,5,1,5,1,4,5,5,4,500,10,9,6,9,1,4,1,5,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0
6,2664,73,55,0,5,5,2,5,5,4,2,5,2,1,4,2,4,100,10,5,6,10,2,4,2,4,3,3,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1,0
4,1247,7,45,0,4,4,2,5,4,4,2,4,3,4,4,3,4,1200,7,5,3,8,2,3,3,2,3,4,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,1,0,0,0
2,2121,44,52,0,4,5,1,4,5,5,1,5,1,4,4,1,5,340,10,10,2,9,5,5,1,4,4,5,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0
7,2347,52,35,0,3,2,5,3,3,3,1,4,4,2,4,5,1,100,10,1,1,9,2,4,2,3,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,1
3,2011,6,30,0,4,2,5,2,5,3,4,5,3,5,3,3,3,600,8,6,0,8,5,4,4,2,4,5,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0
1,2479,68,26,0,5,5,1,3,4,4,4,4,4,5,4,5,4,800,9,9,2,9,5,4,4,4,4,5,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0
4,1252,30,58,0,5,5,4,4,4,3,4,5,4,4,5,3,3,50,5,7,1,9,3,4,5,4,4,3,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0
6,1632,32,33,0,5,5,1,5,5,5,1,5,1,5,5,1,5,1000,10,10,6,10,5,5,1,5,5,5,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0
5,1815,28,38,1,4,2,3,4,4,3,3,2,3,3,4,4,4,900,8,5,5,8,2,3,3,4,4,3,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,1,0,0
7,2004,23,38,1,4,4,2,3,3,3,3,3,5,4,4,4,2,800,9,6,4,4,3,4,4,4,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,1
4,2495,35,32,0,5,5,3,2,2,2,3,4,3,5,4,1,4,500,6,7,6,8,4,5,3,4,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,0,0,1,0,0,0
5,2454,0,32,0,5,2,2,4,4,4,2,4,3,5,4,3,3,500,10,8,6,8,4,5,4,4,5,4,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0
3,2272,43,32,0,5,4,4,5,3,5,3,3,5,4,4,4,4,500,9,10,6,9,5,4,5,4,3,4,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0
2,2047,58,64,1,4,3,3,4,4,4,4,4,4,3,3,3,3,1200,8,9,3,8,3,4,3,4,3,4,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,0,1,0,0,0,0,0
6,2459,49,32,0,5,4,2,3,4,4,4,3,3,4,4,3,4,1000,8,10,2,9,4,3,4,3,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,0,0,0,0,1,0
1,1933,38,25,1,5,3,4,2,4,3,4,4,5,3,4,4,3,700,8,6,3,9,4,3,4,5,4,4,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,2,1,0,0,0,0,0,0
4,1386,27,25,1,4,5,4,3,4,4,4,5,4,4,4,5,4,800,10,9,5,9,5,4,3,3,4,5,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0
6,720,34,54,1,4,3,3,4,4,4,4,4,4,3,3,3,3,1200,8,9,3,8,3,4,3,4,3,4,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0
5,2160,48,26,1,5,4,4,3,5,3,5,5,3,4,4,4,4,500,7,9,2,7,5,4,3,4,5,3,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0
2,1700,48,60,1,4,3,3,4,4,2,4,4,3,4,4,3,2,1500,7,8,4,4,3,4,4,5,4,5,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,1,0,0,0,0,0
3,2902,71,25,1,5,3,2,4,3,3,4,3,2,3,3,3,3,1000,7,8,5,7,4,3,4,3,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,1,0,0,0,0
1,2830,70,24,1,5,5,4,4,4,5,4,5,4,5,5,4,5,600,10,9,4,10,4,5,4,5,4,5,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0
7,2362,51,34,0,4,5,5,4,5,5,4,4,4,5,5,4,5,1000,9,8,0,9,4,5,4,5,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,0,0,0,0,1
3,1028,21,25,1,4,3,4,4,3,3,4,4,4,3,4,4,4,50,9,9,6,10,4,3,3,4,3,4,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,2,0,0,1,0,0,0,0
4,2416,52,54,1,5,4,4,4,4,3,4,4,4,5,5,5,4,1000,10,9,6,9,5,3,4,5,4,5,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,1,0,0,0
5,3093,73,22,0,3,3,3,2,4,4,4,3,4,3,4,5,4,250,7,7,4,8,5,2,5,5,4,5,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0
2,2816,60,25,1,5,3,4,5,5,3,4,3,4,4,5,4,5,1500,9,10,5,10,5,5,4,4,4,5,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,2,0,1,0,0,0,0,0
6,2379,66,29,1,4,5,3,4,5,4,4,4,4,4,4,5,5,1000,9,9,3,9,5,4,4,4,4,5,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0
1,2015,21,45,0,4,5,1,5,5,5,1,5,1,5,5,5,5,200,10,5,6,10,5,3,3,5,5,5,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0
1,2885,84,25,1,5,5,3,4,3,5,5,5,3,3,4,4,4,900,7,7,4,9,3,4,4,5,3,4,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,2,1,0,0,0,0,0,0
2,2005,63,38,0,4,5,1,5,5,4,1,5,1,1,5,1,5,400,10,10,4,10,2,4,2,5,5,5,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0
3,2211,50,25,1,5,4,4,4,4,3,4,4,5,3,4,4,3,800,8,6,4,10,4,3,4,4,3,4,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,2,0,0,1,0,0,0,0
